name,club_color,icon,population,venue,league,date,members
RB Leipzig,#dadada,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/RB Leipzig.png"" width=25>",6279647.5,Zentralstadion,1,19.05.2009,21
FC Bayern Munich,#DC052D,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/FC Bayern Munich.png"" width=25>",4145059.5,Allianz Arena,1,27.02.1900,293000
Eintracht Frankfurt,#E1000F,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/Eintracht Frankfurt.png"" width=25>",3970582.5,Waldstadion,1,08.03.1899,100000
VfB Stuttgart,#E32219,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/VfB Stuttgart.png"" width=25>",3816124,Mercedes-Benz Arena,1,09.09.1893,75000
Hertha BSC Berlin,#005CA9,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/Hertha BSC.png"" width=25>",3254597.5,Olympiastadion Berlin,1,25.07.1892,40051
1. FC Köln,#ED1C24,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/1. FC Köln.png"" width=25>",3157477,RheinEnergie Stadion,1,13.02.1948,117962
SV Werder Bremen,#1D9053,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/SV Werder Bremen.png"" width=25>",3108784,Weserstadion,1,04.02.1899,40376
1. FC Union Berlin,#D4011D,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/1. FC Union Berlin.png"" width=25>",3049589,Stadion An der Alten Försterei,1,20.01.1966,40531
FC Schalke 04,#004D9D,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/FC Schalke 04.png"" width=25>",2886387,Veltins Arena,1,04.05.1904,160023
Arminia Bielefeld,#034E95,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/Arminia Bielefeld.png"" width=25>",2743018.5,Bielefelder Alm,2,03.05.1905,15009
Borussia Dortmund,#FDE100,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/Borussia Dortmund.png"" width=25>",2738762,Westfalenstadion,1,19.12.1909,157000
SpVgg Greuther Fürth,#2EA641,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/SpVgg Greuther Fürth.png"" width=25>",2719458,Trolli Arena,2,23.09.1903,2550
FC St. Pauli,#93755E,"<img src=""/Users/pkollenda/MyLearn/git_forks/bydata_visualizations/football-clubs-voronoi-de/team_icons/FC St. Pauli.png"" width=25>",2711955.5,Millerntor-Stadion,2,15.05.1910,30400
